gene	4C Late Replicate A	4C Late Replicate B	15C Replicate A	15C Replicate B	20C Replicate A	20C Replicate B
sps_RS00005	76.56193625	57.86607204	43.32673566	42.6125606	58.40455283	11.70223587
sps_RS00010	219.5093487	186.3972759	102.8221748	82.01783328	135.3495074	51.2924192
sps_RS00015	38.86125402	22.46381643	15.02937701	15.04432924	36.35275861	11.27654601
sps_RS00020	8.46894479	5.358051974	4.236475921	3.375907065	9.293879435	20.34235083
sps_RS00025	10.56904685	5.030420609	4.162457736	3.319159655	7.243331209	22.80730719
sps_RS00030	9.000967487	4.451634557	3.492573033	3.541729373	4.814317826	7.687910137
sps_RS00035	8.007593439	4.171810738	4.724546671	3.219469707	7.317763096	27.27578329
sps_RS00040	14.78792498	7.806960781	6.701729954	2.952681194	25.94917308	2.503746345
sps_RS00045	85.83484628	55.91089823	43.79403871	32.8059236	120.7430911	50.19480954
sps_RS00050	419.5129994	303.8447483	82.66382191	93.23305974	112.137498	11.65459968
sps_RS00055	114.9149203	104.3246544	26.95899185	36.73448413	23.35425578	0.70330182
sps_RS00060	7.021377459	6.607019906	4.791644328	2.968944215	8.276148226	8.37714899
sps_RS00065	37.06045636	24.30622386	28.37164771	32.74498516	47.80402035	23.9583833
sps_RS00070	28.90028134	17.48553188	13.07433556	12.05511933	21.85771616	14.74869694
sps_RS00075	60.29852659	54.90557161	28.99337231	32.38311771	57.51791231	9.710189269
sps_RS00080	51.23607513	32.02282698	19.2731393	24.00082899	17.89598144	0.629326508
sps_RS00085	111.0877172	69.43175545	74.201999	74.61548243	133.4528901	94.95170017
sps_RS00090	24.70113036	19.12025768	14.85000667	19.68166701	18.19432774	1.487653712
sps_RS00105	160.0860232	99.61477115	108.3500802	100.149233	203.3775526	101.9839267
sps_RS00110	472.3526024	329.8718649	243.5027489	233.3537432	472.3698035	89.82738977
sps_RS00115	103.554664	53.44809308	102.8259405	91.47512184	109.4520603	53.42614207
sps_RS00120	103.3509924	52.09525192	107.2052909	88.34886687	112.5452707	33.79508587
sps_RS00125	37.5782893	23.6864118	25.08567314	24.55593171	62.80136007	11.25656073
sps_RS00130	339.7260367	193.7955048	102.0378216	102.8565785	125.6380813	51.29544952
sps_RS00135	6.645009733	7.309462273	0.394939413	0.848258551	2.143821528	3.000197858
sps_RS00140	3.852510448	1.91095984	0.383836869	0.634809043	0.398366836	0.568533638
sps_RS00145	6.815179085	5.350435944	2.91891905	1.131649183	3.019296157	1.102261716
sps_RS00150	0.912107879	1.833942451	0	0	0.663944727	0
sps_RS00155	20.81850986	15.93505206	8.132709389	8.172576088	10.84337792	12.26850152
sps_RS00160	17.86519001	11.65916737	9.139810722	7.051876563	11.12107418	0.876738204
sps_RS00165	125.1847148	100.4373733	57.82542728	54.30092139	63.19905591	55.43715844
sps_RS00170	221.0351419	244.5169128	314.6277961	309.7565679	440.036056	106.2309303
sps_RS00175	71.94645993	71.0964237	54.6029955	60.10367981	115.8660752	20.37318367
sps_RS00180	100.695886	118.5796776	76.24408503	92.181966	146.6878875	28.48474956
sps_RS00185	1648.882922	1593.7191	1617.665319	1707.372579	1469.915891	235.4070719
sps_RS00190	106.2146373	89.3409358	83.43816854	82.95644468	112.6999569	69.94857176
sps_RS00195	549.071529	551.3529762	395.1353254	355.0371219	461.0851899	138.1476635
sps_RS00200	23.15833491	19.30787274	17.18866389	16.9543255	31.84395011	11.67793208
sps_RS00205	121.9956871	224.3137791	195.1838448	168.935685	211.0520479	116.4285021
sps_RS00210	2.703584354	3.277635849	2.119538757	1.155626896	2.444192127	8.386292543
sps_RS00215	4.670905219	4.599892273	1.422705947	2.077528959	2.284034795	4.311170044
sps_RS00220	2.669110779	2.111470483	2.749375209	4.430216814	5.213003521	0.433082647
sps_RS00225	4.219885749	2.589935567	5.2174571	6.954513376	6.843737956	1.62368195
sps_RS00230	13.11198107	9.335188842	7.0336749	7.04137504	8.499032299	6.744048474
sps_RS00235	12.97537163	11.67781015	18.48983332	14.1693609	16.21524364	40.77422945
sps_RS00240	22.2743217	21.80985562	16.79762317	14.18607695	16.49626003	8.512615577
sps_RS00245	5.016569936	3.49148453	1.451898705	2.183326905	5.123191476	3.894248457
sps_RS00250	117.5865734	161.448354	125.0904495	106.2047082	146.6047692	60.16600894
sps_RS00255	131.8874508	184.6777913	132.5551419	126.7496373	148.6246867	64.44929045
sps_RS00260	51.92677535	40.65729649	20.78967647	13.9806419	45.85304431	6.864758784
sps_RS00265	14.10797365	21.23385859	5.680360314	4.656304642	7.842216442	0.331648717
sps_RS00270	34.22775164	26.11390333	29.21581232	24.54539013	36.54948224	22.03258779
sps_RS00275	546.0803811	393.9231838	221.1496527	252.1488181	263.8589107	207.70119
sps_RS00280	344.711156	282.4534327	308.3883774	281.2052324	350.9919509	145.841288
sps_RS00285	29.51783449	16.082409	15.89797196	15.88597882	30.51166505	18.44878899
sps_RS00290	61.96758379	38.92339469	18.68978423	21.61734279	31.43201804	3.752189774
sps_RS00295	864.1987682	492.492027	377.0659124	351.3664083	303.8231606	395.3635191
sps_RS00300	1017.221486	545.2045892	366.0668205	446.3928158	292.4935443	505.7770534
sps_RS00305	161.7247932	151.3539263	83.82308314	82.23063744	111.3118425	50.33418499
sps_RS00310	18.17844778	14.34408113	6.10236191	9.107443778	16.62762547	10.41648748
sps_RS00315	13.5641961	9.326942322	13.41651502	11.21326341	25.53728145	10.58736837
sps_RS00320	81.86717614	67.45528931	66.54855478	64.75843159	69.7594653	9.898794277
sps_RS00325	533.7830573	421.6278623	915.2305311	732.2669356	564.3399995	237.6823587
sps_RS00330	240.8395248	223.807675	411.5590166	441.2297367	236.7553125	163.2026207
sps_RS00335	16.26555115	20.68309073	5.607727046	6.883619188	8.658017481	0.716905503
sps_RS00340	36.56455441	41.3840176	23.30791623	27.73377671	37.07024726	1.168324201
sps_RS00345	22.91963532	22.52431735	29.83408064	23.34195968	57.43190906	32.94223098
sps_RS00350	76.81542218	81.94828065	82.17408166	74.79555144	91.61872175	106.3782839
sps_RS00355	80.17952841	70.30828042	91.87139869	94.43239681	83.43416215	90.10822422
sps_RS00360	63.83091588	68.4937008	99.69311732	103.4680357	103.4259899	85.38773362
sps_RS00365	89.40563883	102.2541364	105.9030024	111.7101849	78.56290999	121.6863429
sps_RS00370	50.85936631	41.28520986	94.37904286	83.14311251	139.0285786	70.47062592
sps_RS00375	14.81833743	8.542419752	23.47823201	19.79783332	60.7079814	89.92905548
sps_RS00380	1037.659301	864.9646262	1341.200728	1405.975565	1085.923623	30.22328519
sps_RS00385	24.26258355	14.94931368	9.758384224	7.310963179	27.69918983	2.593149565
sps_RS00390	346.3031426	190.2569984	209.8573815	140.7112494	221.2383906	26.53004336
sps_RS00395	85.78735781	59.06417531	107.7163265	111.4884465	84.4244986	43.07896635
sps_RS00400	97.79922532	79.1025102	120.5072103	124.802505	134.1750378	36.9835311
sps_RS00410	61.09702188	49.04635456	45.66538783	36.23337587	86.05689401	14.62823423
sps_RS00415	16.84321669	9.2053719	25.27909512	22.16852658	22.74765173	3.97094089
sps_RS00420	88.09479265	43.64108005	72.99777194	61.69185246	62.75892672	8.090188269
sps_RS00425	13758.9021	15791.20984	6536.799708	8958.527818	6879.788845	104892.2087
