Flux_Category	04_15	04_20	15_20
04CL < 15CL | 04CU < 15CU | 04CR < 15CR	2	0	0
04CL < 15CL | 04CU < 15CU | 04CR == 15CR	344	0	0
04CL < 15CL | 04CU < 15CU | 15CR < 04CR	6	0	0
04CL < 15CL | 04CU == 15CU | 15CR < 04CR	5	0	0
04CL < 15CL | 15CU < 04CU | 15CR < 04CR	12	0	0
04CL < 20CL | 04CU < 20CU | 04CR < 20CR	0	8	0
04CL < 20CL | 04CU < 20CU | 04CR == 20CR	0	67	0
04CL < 20CL | 04CU < 20CU | 20CR < 04CR	0	7	0
04CL < 20CL | 04CU == 20CU | 20CR < 04CR	0	9	0
04CL < 20CL | 20CU < 04CU | 20CR < 04CR	0	10	0
04CL == 15CL | 04CU < 15CU | 04CR < 15CR	21	0	0
04CL == 15CL | 04CU == 15CU | 04CR == 15CR	543	0	0
04CL == 15CL | 15CU < 04CU | 15CR < 04CR	26	0	0
04CL == 20CL | 04CU < 20CU | 04CR < 20CR	0	9	0
04CL == 20CL | 04CU == 20CU | 04CR == 20CR	0	532	0
04CL == 20CL | 20CU < 04CU | 20CR < 04CR	0	43	0
15CL < 04CL | 04CU < 15CU | 04CR < 15CR	6	0	0
15CL < 04CL | 04CU == 15CU | 04CR < 15CR	4	0	0
15CL < 04CL | 15CU < 04CU | 04CR == 15CR	72	0	0
15CL < 04CL | 15CU < 04CU | 15CR < 04CR	4	0	0
15CL < 20CL | 15CU < 20CU | 15CR < 20CR	0	0	8
15CL < 20CL | 15CU < 20CU | 15CR == 20CR	0	0	67
15CL < 20CL | 15CU == 20CU | 20CR < 15CR	0	0	5
15CL < 20CL | 20CU < 15CU | 20CR < 15CR	0	0	6
15CL == 20CL | 15CU < 20CU | 15CR < 20CR	0	0	12
15CL == 20CL | 15CU == 20CU | 15CR == 20CR	0	0	569
15CL == 20CL | 20CU < 15CU | 20CR < 15CR	0	0	24
20CL < 04CL | 04CU < 20CU | 04CR < 20CR	0	2	0
20CL < 04CL | 04CU == 20CU | 04CR < 20CR	0	3	0
20CL < 04CL | 20CU < 04CU | 04CR < 20CR	0	10	0
20CL < 04CL | 20CU < 04CU | 04CR == 20CR	0	334	0
20CL < 04CL | 20CU < 04CU | 20CR < 04CR	0	11	0
20CL < 15CL | 15CU == 20CU | 15CR < 20CR	0	0	4
20CL < 15CL | 20CU < 15CU | 15CR < 20CR	0	0	14
20CL < 15CL | 20CU < 15CU | 15CR == 20CR	0	0	334
20CL < 15CL | 20CU < 15CU | 20CR < 15CR	0	0	2

DeltaG_Category	04_15	04_20	15_20
04CL < 15CL | 04CU < 15CU | 04CR < 15CR	111	0	0
04CL < 15CL | 04CU < 15CU | 15CR < 04CR	83	0	0
04CL < 15CL | 04CU == 15CU | 04CR < 15CR	22	0	0
04CL < 15CL | 04CU == 15CU | 15CR < 04CR	10	0	0
04CL < 15CL | 15CU < 04CU | 04CR < 15CR	120	0	0
04CL < 15CL | 15CU < 04CU | 15CR < 04CR	25	0	0
04CL < 20CL | 04CU < 20CU | 04CR < 20CR	0	159	0
04CL < 20CL | 04CU < 20CU | 20CR < 04CR	0	42	0
04CL < 20CL | 04CU == 20CU | 04CR < 20CR	0	26	0
04CL < 20CL | 04CU == 20CU | 20CR < 04CR	0	8	0
04CL < 20CL | 20CU < 04CU | 04CR < 20CR	0	140	0
04CL < 20CL | 20CU < 04CU | 20CR < 04CR	0	19	0
