DeltaG_Variability	ID	lower_4	upper_4	range_4	lower_15	upper_15	range_15	lower_20	upper_20	range_20	four_fifteen	four_twenty	fifteen_twenty
DeltaG_Variability	2MAHMP	NA	NA	NA	NA	NA	NA	NA	NA	NA	No Comparison	No Comparison	No Comparison
DeltaG_Variability	4HBASink	NA	NA	NA	NA	NA	NA	NA	NA	NA	No Comparison	No Comparison	No Comparison
DeltaG_Variability	4HBTE	-64.4185	-22.1306	42.2879	-66.1667	-21.098	45.0687	-66.9613	-20.6287	46.3326	15CL < 04CL | 04CU < 15CU | 04CR < 15CR	20CL < 04CL | 04CU < 20CU | 04CR < 20CR	20CL < 15CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	5DOAN	-40.863336527025	-9.999999974752427e-07	40.863335527	-42.611469703532066	-9.999999974752427e-07	42.6114687035	-43.40607569285346	-9.999999974752427e-07	43.4060746929	04CL < 15CL | 04CU == 15CU | 04CR < 15CR	04CL < 20CL | 04CU == 20CU | 04CR < 20CR	15CL < 20CL | 15CU == 20CU | 15CR < 20CR
DeltaG_Variability	5DRIB_Sink	NA	NA	NA	NA	NA	NA	NA	NA	NA	No Comparison	No Comparison	No Comparison
DeltaG_Variability	5HPUDICDCr	NA	NA	NA	NA	NA	NA	NA	NA	NA	No Comparison	No Comparison	No Comparison
DeltaG_Variability	5HPUDICDCs	-100.489236964285	-47.943747908620466	52.5454890557	-102.23737014079207	-47.606366376080786	54.6310037647	-103.03197813011346	-47.453011134017295	55.5789669961	04CL < 15CL | 15CU < 04CU | 04CR < 15CR	04CL < 20CL | 20CU < 04CU | 04CR < 20CR	15CL < 20CL | 20CU < 15CU | 15CR < 20CR
DeltaG_Variability	A5PISO	-19.1914	-0.0	19.1914	-19.8866	-0.0	19.8866	-20.2026	-0.0	20.2026	15CL < 04CL | 04CU == 15CU | 04CR < 15CR	20CL < 04CL | 04CU == 20CU | 04CR < 20CR	20CL < 15CL | 15CU == 20CU | 15CR < 20CR
DeltaG_Variability	AACPS10	-12.65284383186453	43.59693911013325	56.249782942	-14.738358540911278	42.62875841162372	57.3671169525	-15.686319772296194	43.969362332572516	59.6556821049	04CL < 15CL | 15CU < 04CU | 04CR < 15CR	04CL < 20CL | 04CU < 20CU | 04CR < 20CR	15CL < 20CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	AACPS11	-20.170250091164526	36.07953285083326	56.249782942	-22.25576480021128	35.11135215232372	57.3671169525	-23.20372603159619	36.45195607327251	59.6556821049	04CL < 15CL | 15CU < 04CU | 04CR < 15CR	04CL < 20CL | 04CU < 20CU | 04CR < 20CR	15CL < 20CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	AACPS12	-27.687656350564527	28.56212659143326	56.249782942	-29.773171059611283	27.593945892923717	57.3671169525	-30.721132290996188	28.934549813872522	59.6556821049	04CL < 15CL | 15CU < 04CU | 04CR < 15CR	04CL < 20CL | 04CU < 20CU | 04CR < 20CR	15CL < 20CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	AACPS13	-35.20506260986453	21.044720332133256	56.249782942	-37.29057731891128	20.076539633623717	57.3671169525	-38.23853855029619	21.417143554572508	59.6556821049	04CL < 15CL | 15CU < 04CU | 04CR < 15CR	04CL < 20CL | 04CU < 20CU | 04CR < 20CR	15CL < 20CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	AACPS14	-90.64793862896452	-34.398155686966746	56.249782942	-92.73345333801127	-35.366336385476274	57.3671169525	-93.6814145693962	-34.025732464527486	59.6556821049	04CL < 15CL | 04CU < 15CU | 04CR < 15CR	04CL < 20CL | 20CU < 04CU | 04CR < 20CR	15CL < 20CL | 20CU < 15CU | 15CR < 20CR
DeltaG_Variability	AACPS15	-105.67717053626453	-49.42738759426673	56.249782942	-107.76268524531126	-50.39556829277629	57.3671169525	-108.71064647669618	-49.054964371827495	59.6556821049	04CL < 15CL | 04CU < 15CU | 04CR < 15CR	04CL < 20CL | 20CU < 04CU | 04CR < 20CR	15CL < 20CL | 20CU < 15CU | 15CR < 20CR
DeltaG_Variability	AACPS16	2.6879528905354704	58.93773583253325	56.249782942	0.6024381814887292	57.96955513402372	57.3671169525	-0.34552304989619387	59.310159054972516	59.6556821049	15CL < 04CL | 15CU < 04CU | 04CR < 15CR	20CL < 04CL | 04CU < 20CU | 04CR < 20CR	20CL < 15CL | 15CU < 20CU | 15CR < 20CR
