Gene	log2FoldChange (<0 higher in 4, >0 higher in 15)	Padj 4 v 15	log2FoldChange (<0 higher in 15, >0 higher in 20)	Padj 15 v 20	log2FoldChange (<0 higher in 4, >0 higher in 20)	Padj 4 v 20	Gene Name	Pathway
sps_RS09555	2.25926	0.00000	0.78403	0.20758	3.04329	0.00000	branched-chain amino acid ABC transporter permease	Amino Acid metabolis and transport
sps_RS08300	1.78251	0.00001	0.89039	0.12620	2.67290	0.00000	tryptophan synthase subunit beta	Amino Acid metabolis and transport
sps_RS08295	2.03177	0.00003	0.74412	0.43125	2.77588	0.00000	bifunctional indole-3-glycerol-phosphate synthase TrpC/phosphoribosylanthranilate isomerase TrpF	Amino Acid metabolis and transport
sps_RS08280	2.08704	0.00000	0.44956	0.74587	2.53660	0.00000	anthranilate synthase component 1	Amino Acid metabolis and transport
sps_RS15460	-0.27623	0.71775	2.92792	0.00000	2.65169	0.00000	serine O-acetyltransferase	Amino Acid metabolis and transport
sps_RS10195	-0.81745	0.15157	-3.90704	0.00000	-4.72449	0.00000	type VI secretion system tube protein Hcp	Function Unknown
sps_RS09545	1.09768	0.01502	0.96133	0.07942	2.05900	0.00000	chorismate mutase	Amino Acid metabolis and transport
sps_RS08835	-2.18810	0.00000	-1.57158	0.00051	-3.75968	0.00000	transporter	Lipid metabolism
sps_RS19095	0.00682	0.99527	-4.43832	0.00000	-4.43150	0.00000	type VI secretion system tube protein Hcp	Function Unknown
sps_RS15895	-2.33294	0.00000	-1.32094	0.00661	-3.65389	0.00000	phasin family protein	Function Unknown
sps_RS08305	1.58937	0.00273	0.83641	0.35720	2.42578	0.00000	tryptophan synthase subunit alpha	Amino Acid metabolis and transport
sps_RS05555	-0.78344	0.00320	-1.26643	0.00000	-2.04987	0.00000	TetR/AcrR family transcriptional regulator	Transcription
sps_RS01180	1.21420	0.00000	0.72468	0.01004	1.93888	0.00000	LTA synthase family protein	Cell wall/membrane/envelop biogenesis
sps_RS13170	-1.79266	0.00000	-0.49330	0.37577	-2.28596	0.00000	PKD domain-containing protein	Amino Acid metabolis and transport
sps_RS03840	-1.87841	0.00000	-0.35845	0.63405	-2.23686	0.00000	replication initiation negative regulator SeqA	Replication and repair
sps_RS08285	1.96202	0.00036	0.22695	0.92001	2.18897	0.00004	type 1 glutamine amidotransferase	Amino Acid metabolis and transport
sps_RS08290	1.54908	0.00609	0.50266	0.76279	2.05173	0.00010	anthranilate phosphoribosyltransferase	Amino Acid metabolis and transport
sps_RS18555	2.17871	0.00000	0.53698	0.25486	2.71569	0.00000	flagellar biosynthesis protein FlhA	Cell motility
sps_RS27595	-1.20342	0.00002	-0.91372	0.00659	-2.11714	0.00000	acyl-CoA thioesterase	Function Unknown
sps_RS18695	1.99027	0.00000	0.58079	0.37001	2.57105	0.00000	flagellar assembly peptidoglycan hydrolase FlgJ	Cell motility
sps_RS05895	-1.71358	0.00158	-2.06350	0.00017	-3.77708	0.00000	acyl-CoA dehydrogenase	Lipid metabolism
sps_RS18580	1.50449	0.00000	0.75416	0.08284	2.25865	0.00000	flagellar biosynthetic protein FliP	Cell motility
sps_RS18620	1.54040	0.00000	0.50294	0.44768	2.04334	0.00000	flagellar assembly protein FliH	Cell motility
sps_RS16775	-1.88297	0.00000	-0.36875	0.69441	-2.25172	0.00000	dihydrodipicolinate synthase family protein	Amino Acid metabolis and transport
sps_RS07490	-1.67805	0.00049	-1.64120	0.00142	-3.31925	0.00000	acyl-CoA dehydrogenase	Lipid metabolism
sps_RS18705	2.18423	0.00000	0.07528	0.96825	2.25951	0.00000	flagellar biosynthesis protein FlgH	Cell motility
sps_RS18630	2.23287	0.00001	0.33150	0.87841	2.56437	0.00000	flagellar basal body M-ring protein FliF	Cell motility
sps_RS18610	1.09909	0.02246	0.91350	0.12781	2.01259	0.00000	flagellar export protein FliJ	Cell motility
sps_RS16235	-2.53715	0.00000	-0.33059	0.84487	-2.86774	0.00000	hypothetical protein	Secondary Structure
sps_RS18615	1.71278	0.00023	0.35165	0.84375	2.06443	0.00000	flagellar protein export ATPase FliI	Cell motility
sps_RS26490	1.26290	0.00000	0.04795	0.95224	1.31085	0.00000	prepilin-type N-terminal cleavage/methylation domain-containing protein	Intracellular trafficking and secretion
sps_RS15655	-1.57512	0.00001	-0.86226	0.08252	-2.43738	0.00000	S9 family peptidase	Amino Acid metabolis and transport
sps_RS14350	-1.99850	0.00000	-0.76786	0.25730	-2.76635	0.00000	porin	Cell wall/membrane/envelop biogenesis
sps_RS02200	-1.34447	0.00013	-0.99348	0.01699	-2.33795	0.00000	DUF4336 domain-containing protein	Function Unknown
sps_RS06205	-1.23765	0.00001	-0.63371	0.10504	-1.87136	0.00000	nitrate reductase catalytic subunit NapA	Energy production and conversion
sps_RS24400	-0.12424	0.90512	-3.62818	0.00000	-3.75242	0.00000	type VI secretion system tube protein Hcp	Function Unknown
