Gene	log2FoldChange (<0 higher in 4, >0 higher in 15)	Padj 4 v 15	log2FoldChange (<0 higher in 15, >0 higher in 20)	Padj 15 v 20	log2FoldChange (<0 higher in 4, >0 higher in 20)	Padj 4 v 20	Gene Name	Pathway
sps_RS00005	-0.12292	0.84545	0.24113	0.97101	0.11821	0.86273	FMN-binding protein MioC	Energy production and conversion
sps_RS00010	0.11895	0.76915	0.02618	0.99271	0.14513	0.72786	bifunctional 2-polyprenyl-6-hydroxyphenol methylase/3-demethylubiquinol 3-O-methyltransferase UbiG	Coenzyme metabolism
sps_RS00015	-0.88663	0.05357	0.23872	0.96652	-0.64791	0.17926	NAD/FAD-utilizing enzyme	Function Unknown
sps_RS00020	-1.37041	0.02941	0.63318	0.80813	-0.73723	0.28764	cytochrome-c oxidase	Energy production and conversion
sps_RS00025	-0.44429	0.62444	-0.30122	0.98433	-0.74551	0.38058	cytochrome c oxidase subunit I	Energy production and conversion
sps_RS00030	-1.87578	0.00443	0.81161	0.74928	-1.06417	0.11597	cytochrome oxidase subunit III	Energy production and conversion
sps_RS00035	-2.09422	0.00972	0.79891	0.83484	-1.29531	0.12872	bb3-type cytochrome oxidase subunit IV	Energy production and conversion
sps_RS00040	-1.90362	0.04622	-0.63509	0.99000	-2.53871	0.00733	cytochrome C oxidase subunit IV	Function Unknown
sps_RS00045	-0.14759	0.80069	-0.95074	0.20397	-1.09833	0.01497	SCO family protein	Function Unknown
sps_RS00050	0.21194	0.84308	0.28224	0.98934	0.49418	0.63284	SDR family NAD(P)-dependent oxidoreductase	Function Unknown
sps_RS00055	0.24718	0.88353	0.33198	0.98934	0.57916	0.72168	isopenicillin N synthase family oxygenase	Function Unknown
sps_RS00060	-2.32534	0.00003	1.32221	0.18573	-1.00313	0.08341	LysE family translocator	Function Unknown
sps_RS00065	0.73157	0.14495	-0.40429	0.88404	0.32728	0.58182	hypothetical protein	NA
sps_RS00070	-0.63713	0.02343	0.02192	0.99271	-0.61521	0.03032	winged helix DNA-binding domain-containing protein	Function Unknown
sps_RS00075	-0.32435	0.61001	0.41033	0.90971	0.08598	0.91114	DUF1186 domain-containing protein	Function Unknown
sps_RS00080	-1.51943	0.50070	-0.07133	0.99369	-1.59076	0.48353	Txe/YoeB family addiction module toxin	Function Unknown
sps_RS00085	-0.64614	0.04388	0.11750	0.98835	-0.52864	0.11109	prevent-host-death protein	Cell cycle control and mitosis
sps_RS00090	-1.04129	0.23594	0.35146	0.97607	-0.68983	0.46535	DNA cytosine methyltransferase	Replication and repair
sps_RS00105	-1.02128	0.00009	0.39604	0.57993	-0.62525	0.02414	IS5/IS1182 family transposase	Replication and repair
sps_RS00110	-1.50741	0.00045	-0.15728	0.98934	-1.66469	0.00008	IS256 family transposase	Replication and repair
sps_RS00115	0.13384	0.75779	-0.34385	0.80121	-0.21001	0.62017	type II toxin-antitoxin system HipA family toxin	Function Unknown
sps_RS00120	0.53555	0.22117	-0.19770	0.97101	0.33785	0.47879	XRE family transcriptional regulator	Transcription
sps_RS00125	-0.93556	0.13872	0.59678	0.81391	-0.33879	0.65109	hypothetical protein	NA
sps_RS00130	-0.12320	0.74877	-0.56007	0.31813	-0.68327	0.02376	DUF4172 domain-containing protein	Function Unknown
sps_RS00135	-1.07078	0.27109	-0.54179	0.99000	-1.61257	0.09591	hypothetical protein	NA
sps_RS00140	-0.74438	0.43452	-1.40630	0.99000	-2.15068	0.01715	acid phosphatase	Nucleotide metabolism and transport
sps_RS00145	-1.31728	0.02563	0.03695	0.99000	-1.28034	0.03264	hypothetical protein	NA
sps_RS00150	-4.42193	0.18293	3.77523	0.99000	-0.64670	0.86363	hypothetical protein	NA
sps_RS00155	-0.73144	0.09998	0.36175	0.88404	-0.36969	0.45706	ATP-dependent RNA helicase	Replication and repair
sps_RS00160	0.46453	0.69560	-0.51712	0.99000	-0.05259	0.97072	hypothetical protein	NA
sps_RS00165	-0.91155	0.02995	0.34007	0.90138	-0.57148	0.20803	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	Function Unknown
sps_RS00170	-0.01626	0.98141	0.69758	0.49039	0.68132	0.14592	membrane protein insertase YidC	Intracellular trafficking and secretion
sps_RS00175	-1.97430	0.00138	1.57792	0.08278	-0.39638	0.61715	membrane protein insertion efficiency factor YidD	Function Unknown
sps_RS00180	-2.41396	0.00001	1.64268	0.03078	-0.77129	0.22100	ribonuclease P protein component	Translation
sps_RS00185	0.41818	0.62691	-0.22283	0.98934	0.19536	0.83761	50S ribosomal protein L34	Translation
sps_RS00190	-0.01873	0.97227	0.59392	0.41182	0.57519	0.11866	chromosomal replication initiator protein DnaA	Replication and repair
sps_RS00195	0.41760	0.30032	-0.09784	0.98934	0.31976	0.45108	DNA polymerase III subunit beta	Replication and repair
sps_RS00200	-0.05343	0.91186	0.42405	0.71741	0.37063	0.36024	DNA replication/repair protein RecF	Replication and repair
sps_RS00205	1.29674	0.00822	0.16347	0.98934	1.46021	0.00249	DNA topoisomerase (ATP-hydrolyzing) subunit B	Replication and repair
sps_RS00210	-0.77164	0.56881	-0.01563	0.99000	-0.78727	0.57074	cytochrome C	Energy production and conversion
sps_RS00215	-0.60126	0.43313	0.05885	0.99271	-0.54241	0.49131	molybdopterin containing oxidoreductase	Function Unknown
sps_RS00220	-1.13322	0.28211	0.02594	0.99000	-1.10728	0.30538	cytochrome C	Energy production and conversion
sps_RS00225	-0.60167	0.56785	-0.96753	0.99000	-1.56920	0.12380	hypothetical protein	Energy production and conversion
sps_RS00230	-0.02453	0.97150	-0.27678	0.95726	-0.30132	0.58210	lactam utilization protein LamB	Amino Acid metabolis and transport
sps_RS00235	0.45161	0.60537	-0.11926	0.99009	0.33235	0.72596	hypothetical protein	Amino Acid metabolis and transport
sps_RS00240	0.47385	0.26657	0.18902	0.97101	0.66287	0.10072	allophanate hydrolase	Amino Acid metabolis and transport
sps_RS00245	-1.45878	0.00426	0.68294	0.69300	-0.77584	0.14492	HDOD domain-containing protein	Signal Transduction
sps_RS00250	1.50120	0.00048	-0.16589	0.98785	1.33532	0.00221	glycine--tRNA ligase subunit beta	Translation
sps_RS00255	1.14481	0.01855	0.12741	0.98934	1.27222	0.00801	glycine--tRNA ligase subunit alpha	Translation
sps_RS00260	1.29347	0.01566	-0.53269	0.81319	0.76078	0.19524	DNA-3-methyladenine glycosylase I	Replication and repair
sps_RS00265	-1.07021	0.51543	1.03666	0.92085	-0.03354	0.98626	hypothetical protein	NA
sps_RS00270	0.82322	0.00323	-0.41656	0.56197	0.40666	0.19386	amidohydrolase	Secondary Structure
sps_RS00275	-0.01079	0.98843	0.01408	0.99369	0.00329	0.99727	MOSC domain-containing protein	Function Unknown
sps_RS00280	0.86878	0.06297	-0.24787	0.96631	0.62092	0.21020	sulfurtransferase TusA	Inorganic ion transport and metabolism
sps_RS00285	0.56682	0.12601	0.13919	0.98464	0.70602	0.04794	Cys-tRNA(Pro) deacylase	Function Unknown
sps_RS00290	0.81090	0.19979	0.01360	0.99484	0.82449	0.19243	N-acetyltransferase	Function Unknown
sps_RS00295	1.45769	0.00096	-0.42216	0.84773	1.03553	0.02465	acetyl-CoA C-acyltransferase FadA	Lipid metabolism
sps_RS00300	0.95349	0.09147	-0.20978	0.98464	0.74371	0.20659	fatty acid oxidation complex subunit alpha FadB	Lipid metabolism
sps_RS00305	1.03422	0.00004	-0.13594	0.96824	0.89828	0.00046	Xaa-Pro dipeptidase	Amino Acid metabolis and transport
sps_RS00310	-0.30471	0.54599	-0.15589	0.98934	-0.46060	0.34253	YigZ family protein	Function Unknown
sps_RS00315	-0.41726	0.25926	0.40422	0.72147	-0.01305	0.97970	potassium transporter	Inorganic ion transport and metabolism
sps_RS00320	0.56739	0.34927	-0.73812	0.61684	-0.17073	0.81638	menaquinone-dependent protoporphyrinogen IX dehydrogenase	Coenzyme metabolism
sps_RS00325	1.05865	0.00786	-1.13765	0.03081	-0.07900	0.89404	ArsR family transcriptional regulator	Transcription
sps_RS00330	1.51279	0.00048	-1.84963	0.00012	-0.33684	0.54318	menaquinone-dependent protoporphyrinogen IX dehydrogenase	Coenzyme metabolism
sps_RS00335	-1.02722	0.51390	0.83152	0.95717	-0.19571	0.92001	hypothetical protein	NA
sps_RS00340	-1.18805	0.41670	0.60519	0.97172	-0.58286	0.72786	hypothetical protein	NA
sps_RS00345	-0.15489	0.69189	0.06061	0.98934	-0.09427	0.82188	TrkH family potassium uptake protein	Inorganic ion transport and metabolism
sps_RS00350	0.78745	0.11998	0.07414	0.99016	0.86159	0.08316	Trk system potassium transporter TrkA	Inorganic ion transport and metabolism
sps_RS00355	0.99792	0.02922	-0.03857	0.99271	0.95935	0.03681	16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB	Translation
sps_RS00360	1.23810	0.00777	0.07547	0.99009	1.31357	0.00450	methionyl-tRNA formyltransferase	Translation
sps_RS00365	0.84795	0.19676	0.25595	0.98262	1.10390	0.07810	peptide deformylase	Translation
sps_RS00370	1.55840	0.00000	-0.56679	0.27955	0.99161	0.00046	LysM peptidoglycan-binding domain-containing protein	Function Unknown
sps_RS00375	0.31651	0.67928	-0.30810	0.96824	0.00841	0.99284	DNA-protecting protein DprA	Replication and repair
sps_RS00380	0.59924	0.60401	-0.10216	0.99271	0.49708	0.68402	DUF494 domain-containing protein	Function Unknown
sps_RS00385	-2.37834	0.00016	-0.06011	0.99271	-2.43845	0.00010	collagenase	Function Unknown
sps_RS00390	1.63333	0.00870	-0.86647	0.61684	0.76686	0.27726	hypothetical protein	Replication and repair
sps_RS00395	0.39764	0.45458	0.61158	0.62975	1.00922	0.02764	threonylcarbamoyl-AMP synthase	Translation
sps_RS00400	0.78350	0.01665	0.07096	0.98934	0.85446	0.00832	oxygen-dependent coproporphyrinogen oxidase	Coenzyme metabolism
sps_RS00410	0.35367	0.53239	-0.41386	0.87897	-0.06018	0.93255	shikimate dehydrogenase	Amino Acid metabolis and transport
sps_RS00415	-0.28788	0.77425	-0.24137	0.99000	-0.52925	0.59095	DUF1488 domain-containing protein	Function Unknown
sps_RS00420	0.49425	0.46438	-0.78742	0.62510	-0.29316	0.69970	gamma carbonic anhydrase family protein	Function Unknown
sps_RS00425	0.19236	0.91324	-0.96165	0.92406	-0.76929	0.63921	16S ribosomal RNA	NA
sps_RS00430	0.45656	0.72683	-1.01202	0.81024	-0.55547	0.67063	23S ribosomal RNA	NA
sps_RS00435	0.88962	0.43085	-1.37166	0.58593	-0.48204	0.70507	5S ribosomal RNA	NA
sps_RS00440	-0.71290	0.07091	-0.20171	0.96631	-0.91461	0.01625	PAS domain S-box protein	Signal Transduction
sps_RS00445	-0.65413	0.16901	-0.01430	0.99369	-0.66843	0.16413	hypothetical protein	Function Unknown
sps_RS00450	-1.38557	0.00599	0.03506	0.99271	-1.35051	0.00784	hypothetical protein	Intracellular trafficking and secretion
sps_RS00455	-2.67943	0.00000	0.36219	0.89266	-2.31724	0.00000	hypothetical protein	Cell motility
sps_RS00460	-2.84527	0.00000	0.70548	0.66374	-2.13979	0.00001	flagellar motor stator protein MotA	Cell motility
sps_RS00465	-2.75894	0.00000	0.03577	0.99271	-2.72317	0.00000	RNA polymerase sigma factor FliA	Transcription
sps_RS00470	-3.06869	0.02086	0.04449	0.99000	-3.02420	0.02361	flagellar basal body protein FliL	Cell motility
sps_RS00475	-3.61275	0.00000	0.80528	0.57993	-2.80747	0.00000	flagellar hook-length control protein FliK	Cell motility
sps_RS00480	-2.02772	0.00131	-1.33015	0.99000	-3.35787	0.00000	hypothetical protein	Function Unknown
sps_RS00485	-2.55182	0.00074	0.47267	0.99000	-2.07915	0.00607	flagellar export chaperone FliS	Cell motility
sps_RS00490	-2.13382	0.00000	0.10430	0.98934	-2.02952	0.00000	flagellar hook protein FliD	Cell motility
sps_RS00495	-1.18900	0.02624	0.12000	0.98934	-1.06899	0.04896	Lateral flagellin	Cell motility
sps_RS00500	-0.99741	0.07620	-0.06003	0.99271	-1.05744	0.05803	hypothetical protein	Function Unknown
sps_RS00505	-1.27388	0.00009	0.24478	0.94155	-1.02909	0.00201	flagellar hook-associated protein 3	Cell motility
sps_RS00510	-0.90034	0.07384	0.60204	0.69390	-0.29830	0.62292	flagellar hook-associated protein FlgK	Cell motility
sps_RS00515	-0.69496	0.31535	-0.34987	0.96631	-1.04483	0.11120	peptidoglycan hydrolase	Function Unknown
sps_RS00520	-1.73352	0.00048	-0.21059	0.98464	-1.94411	0.00008	flagellar basal body P-ring protein FlgI	Cell motility
sps_RS00525	-1.64907	0.00824	0.29623	0.97607	-1.35284	0.03373	flagellar basal body L-ring protein FlgH	Cell motility
sps_RS00530	-2.29131	0.00001	0.43396	0.92803	-1.85734	0.00051	flagellar basal-body rod protein FlgG	Cell motility
sps_RS00535	-1.32911	0.10101	0.29829	0.98740	-1.03083	0.22110	flagellar basal body rod protein FlgF	Cell motility
sps_RS00540	-1.96962	0.00045	0.10744	0.99009	-1.86218	0.00099	flagellar hook protein FlgE	Cell motility
sps_RS00545	-1.89510	0.00014	0.54425	0.82002	-1.35086	0.00758	flagellar biosynthesis protein FlgD	Cell motility
sps_RS00550	-1.87010	0.03913	0.05935	0.99000	-1.81075	0.04783	flagellar basal body rod protein FlgC	Cell motility
sps_RS00555	-2.19900	0.01761	-0.51927	0.99000	-2.71828	0.00418	flagellar basal body rod protein FlgB	Cell motility
sps_RS00560	-0.79331	0.20150	-0.35541	0.96075	-1.14872	0.05391	flagella basal body P-ring formation protein FlgA	Cell motility
sps_RS00565	-0.70409	0.68496	-0.59657	0.99000	-1.30066	0.42025	flagellar biosynthesis anti-sigma factor FlgM	Function Unknown
sps_RS00570	-0.99994	0.15391	0.40144	0.99000	-0.59850	0.42989	flagellar biosynthesis protein FlgN	Function Unknown
sps_RS00575	-1.03803	0.01917	-0.12815	0.98934	-1.16618	0.00835	hypothetical protein	Function Unknown
sps_RS00580	-0.95746	0.02013	-0.04310	0.99271	-1.00056	0.01501	flagellar protein export ATPase FliI	Cell motility
sps_RS00585	-1.07509	0.03819	-0.01812	0.99369	-1.09322	0.03541	flagellar assembly protein FliH	Cell motility
sps_RS00590	-1.68344	0.00000	0.16830	0.97777	-1.51514	0.00001	flagellar motor switch protein FliG	Cell motility
sps_RS00595	-1.52793	0.00019	0.21272	0.97172	-1.31521	0.00159	flagellar M-ring protein FliF	Cell motility
sps_RS00600	-1.80019	0.00003	0.00595	0.99000	-1.79424	0.00004	flagellar hook-basal body complex protein FliE	Cell motility
sps_RS00605	-2.33719	0.00000	-0.08647	0.98934	-2.42366	0.00000	sigma-54-dependent Fis family transcriptional regulator	Signal Transduction
sps_RS00610	-2.17077	0.00000	-0.30957	0.96631	-2.48034	0.00000	OmpA family protein	Cell motility
sps_RS00615	-1.66122	0.00003	-0.03596	0.99271	-1.69718	0.00002	hypothetical protein	Function Unknown
sps_RS00620	-1.69840	0.05069	-0.39393	0.99000	-2.09233	0.01692	flagellar motor switch protein FliN	Cell motility
sps_RS00625	-1.81038	0.00320	0.13946	0.98934	-1.67092	0.00738	flagellar biosynthetic protein FliP	Cell motility
