Gene	log2FoldChange (<0 higher in 4, >0 higher in 15)	Padj 4 v 15	log2FoldChange (<0 higher in 15, >0 higher in 20)	Padj 15 v 20	log2FoldChange (<0 higher in 4, >0 higher in 20)	Padj 4 v 20	Gene Name	Pathway
sps_RS00005	-0.22032	0.76693	-0.65262	0.27317	-0.87294	0.07853	FMN-binding protein MioC	Energy production and conversion
sps_RS00010	-0.73102	0.02833	-0.21226	0.62587	-0.94328	0.00180	bifunctional 2-polyprenyl-6-hydroxyphenol methylase/3-demethylubiquinol 3-O-methyltransferase UbiG	Coenzyme metabolism
sps_RS00015	-0.57594	0.31168	0.38873	0.52096	-0.18722	0.72037	NAD/FAD-utilizing enzyme	Function Unknown
sps_RS00020	-0.42173	0.65297	2.13915	0.00088	1.71742	0.00399	cytochrome-c oxidase	Energy production and conversion
sps_RS00025	-0.59023	0.58152	2.24208	0.00369	1.65185	0.02197	cytochrome c oxidase subunit I	Energy production and conversion
sps_RS00030	-0.48430	0.60820	0.93010	0.22854	0.44580	0.51780	cytochrome oxidase subunit III	Energy production and conversion
sps_RS00035	-0.16281	0.91092	2.38330	0.00546	2.22049	0.00418	bb3-type cytochrome oxidase subunit IV	Energy production and conversion
sps_RS00040	-0.78690	0.56998	1.11621	0.35358	0.32931	0.76531	cytochrome C oxidase subunit IV	Function Unknown
sps_RS00045	-0.45685	0.45409	0.95602	0.06045	0.49917	0.30171	SCO family protein	Function Unknown
sps_RS00050	-1.60659	0.07609	-0.97068	0.33931	-2.57727	0.00100	SDR family NAD(P)-dependent oxidoreductase	Function Unknown
sps_RS00055	-1.37037	0.39053	-1.95240	0.18735	-3.32276	0.00649	isopenicillin N synthase family oxygenase	Function Unknown
sps_RS00060	-0.41379	0.63992	1.10388	0.10585	0.69010	0.25511	LysE family translocator	Function Unknown
sps_RS00065	0.42805	0.51943	0.06274	0.93391	0.49079	0.34027	hypothetical protein	NA
sps_RS00070	-0.44322	0.19055	0.45066	0.18817	0.00744	0.98290	winged helix DNA-binding domain-containing protein	Function Unknown
sps_RS00075	-0.50156	0.47666	-0.26092	0.73118	-0.76248	0.16143	DUF1186 domain-containing protein	Function Unknown
sps_RS00080	-0.49286	0.87652	-1.76618	0.48377	-2.25904	0.27348	Txe/YoeB family addiction module toxin	Function Unknown
sps_RS00085	0.16273	0.74216	0.53364	0.15404	0.69637	0.02769	prevent-host-death protein	Cell cycle control and mitosis
sps_RS00090	0.08593	0.95380	-1.29932	0.16841	-1.21339	0.14984	DNA cytosine methyltransferase	Replication and repair
sps_RS00105	0.12349	0.77308	0.38510	0.25112	0.50859	0.07089	IS5/IS1182 family transposase	Replication and repair
sps_RS00110	-0.31915	0.62776	-0.13390	0.84207	-0.45306	0.35078	IS256 family transposase	Replication and repair
sps_RS00115	0.76795	0.03318	-0.42502	0.30712	0.34294	0.34863	type II toxin-antitoxin system HipA family toxin	Function Unknown
sps_RS00120	0.78641	0.07740	-0.69394	0.13947	0.09247	0.84912	XRE family transcriptional regulator	Transcription
sps_RS00125	0.13880	0.89561	0.20621	0.82303	0.34502	0.61807	hypothetical protein	NA
sps_RS00130	-0.92731	0.00194	-0.42715	0.24174	-1.35446	0.00000	DUF4172 domain-containing protein	Function Unknown
sps_RS00135	-3.11800	0.02315	2.10380	0.18979	-1.01420	0.32296	hypothetical protein	NA
sps_RS00140	-2.03817	0.05059	-0.02204	0.99248	-2.06021	0.03100	acid phosphatase	Nucleotide metabolism and transport
sps_RS00145	-1.17053	0.09516	-0.19547	0.85278	-1.36600	0.03116	hypothetical protein	NA
sps_RS00150	-3.54083	0.37477	1.37377	0.79026	-2.16705	0.52753	hypothetical protein	NA
sps_RS00155	-0.75242	0.11801	0.53573	0.30722	-0.21669	0.65467	ATP-dependent RNA helicase	Replication and repair
sps_RS00160	-0.43180	0.76361	-0.87029	0.50835	-1.30209	0.20616	hypothetical protein	NA
sps_RS00165	-0.59373	0.23401	0.05521	0.93331	-0.53852	0.22012	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	Function Unknown
sps_RS00170	0.80554	0.10238	-0.52193	0.33485	0.28361	0.56468	membrane protein insertase YidC	Intracellular trafficking and secretion
sps_RS00175	0.08183	0.94483	-0.13927	0.88836	-0.05744	0.94120	membrane protein insertion efficiency factor YidD	Function Unknown
sps_RS00180	0.00156	0.99848	-0.31556	0.70696	-0.31401	0.63605	ribonuclease P protein component	Translation
sps_RS00185	0.43397	0.67268	-1.36454	0.08334	-0.93056	0.20332	50S ribosomal protein L34	Translation
sps_RS00190	0.17902	0.73770	0.01873	0.97480	0.19775	0.62048	chromosomal replication initiator protein DnaA	Replication and repair
sps_RS00195	-0.16330	0.76940	-0.60600	0.14759	-0.76930	0.03182	DNA polymerase III subunit beta	Replication and repair
sps_RS00200	0.09759	0.87178	0.11435	0.83596	0.21195	0.60959	DNA replication/repair protein RecF	Replication and repair
sps_RS00205	0.39772	0.57810	-0.29313	0.67767	0.10460	0.86053	DNA topoisomerase (ATP-hydrolyzing) subunit B	Replication and repair
sps_RS00210	-0.49377	0.80469	1.95445	0.16607	1.46069	0.22170	cytochrome C	Energy production and conversion
sps_RS00215	-1.00173	0.22412	1.04963	0.20404	0.04789	0.95255	molybdopterin containing oxidoreductase	Function Unknown
sps_RS00220	1.01824	0.42634	-0.80065	0.53956	0.21759	0.85719	cytochrome C	Energy production and conversion
sps_RS00225	1.28821	0.20102	-0.84332	0.44278	0.44488	0.66002	hypothetical protein	Energy production and conversion
sps_RS00230	-0.24198	0.70566	0.04883	0.94283	-0.19315	0.69064	lactam utilization protein LamB	Amino Acid metabolis and transport
sps_RS00235	0.80060	0.38143	1.00863	0.23175	1.80923	0.00872	hypothetical protein	Amino Acid metabolis and transport
